year,week,route_id,forecast_pieces
2026,35,R001,7200
2026,35,R002,9400
2026,35,R003,12800
2026,35,R004,14600
2026,35,R005,21200
2026,35,R006,24800
2026,35,R007,6100
2026,35,R008,11700
2026,35,R009,20500
2026,35,R010,26700
2026,35,R011,31800
2026,35,R012,35400
2026,36,R001,7600
2026,36,R002,9800
2026,36,R003,13200
2026,36,R004,15100
2026,36,R005,21800
2026,36,R006,25500
2026,36,R007,6400
2026,36,R008,12100
2026,36,R009,21100
2026,36,R010,27400
2026,36,R011,32500
2026,36,R012,36200
2026,37,R001,8100
2026,37,R002,10100
2026,37,R003,13900
2026,37,R004,15700
2026,37,R005,22600
2026,37,R006,26100
2026,37,R007,6800
2026,37,R008,12600
2026,37,R009,21900
2026,37,R010,28100
2026,37,R011,33400
2026,37,R012,37100
2026,38,R001,8500
2026,38,R002,10600
2026,38,R003,14500
2026,38,R004,16300
2026,38,R005,23400
2026,38,R006,26900
2026,38,R007,7100
2026,38,R008,13200
2026,38,R009,22700
2026,38,R010,28900
2026,38,R011,34200
2026,38,R012,38300
2026,39,R001,8900
2026,39,R002,11100
2026,39,R003,15100
2026,39,R004,17000
2026,39,R005,24100
2026,39,R006,27800
2026,39,R007,7500
2026,39,R008,13800
2026,39,R009,23500
2026,39,R010,29700
2026,39,R011,35100
2026,39,R012,39400
2026,40,R001,9300
2026,40,R002,11600
2026,40,R003,15800
2026,40,R004,17600
2026,40,R005,24900
2026,40,R006,28600
2026,40,R007,7900
2026,40,R008,14400
2026,40,R009,24300
2026,40,R010,30600
2026,40,R011,36000
2026,40,R012,40600
2026,41,R001,9700
2026,41,R002,12100
2026,41,R003,16400
2026,41,R004,18300
2026,41,R005,25700
2026,41,R006,29500
2026,41,R007,8300
2026,41,R008,15100
2026,41,R009,25200
2026,41,R010,31500
2026,41,R011,36900
2026,41,R012,41700
2026,42,R001,10300
2026,42,R002,12700
2026,42,R003,17200
2026,42,R004,19100
2026,42,R005,26600
2026,42,R006,30400
2026,42,R007,8800
2026,42,R008,15800
2026,42,R009,26100
2026,42,R010,32500
2026,42,R011,37900
2026,42,R012,43100
