route_id,vehicle_type_id,effective_from,effective_to,rate_per_trip
R001,V001,2026-01-01,,650.00
R001,V002,2026-01-01,,850.00
R001,V003,2026-01-01,,1150.00
R002,V001,2026-01-01,,850.00
R002,V002,2026-01-01,,1100.00
R002,V003,2026-01-01,,1450.00
R003,V002,2026-01-01,,1450.00
R003,V003,2026-01-01,,1850.00
R003,V004,2026-01-01,,2400.00
R004,V002,2026-01-01,,1900.00
R004,V003,2026-01-01,,2350.00
R004,V004,2026-01-01,,2950.00
R005,V003,2026-01-01,,3100.00
R005,V004,2026-01-01,,3750.00
R005,V005,2026-01-01,,4550.00
R006,V003,2026-01-01,,3750.00
R006,V004,2026-01-01,,4450.00
R006,V005,2026-01-01,,5250.00
R007,V001,2026-01-01,,750.00
R007,V002,2026-01-01,,950.00
R007,V003,2026-01-01,,1250.00
R008,V002,2026-01-01,,1650.00
R008,V003,2026-01-01,,2050.00
R008,V004,2026-01-01,,2600.00
R009,V003,2026-01-01,,3400.00
R009,V004,2026-01-01,,4100.00
R009,V005,2026-01-01,,4900.00
R010,V004,2026-01-01,,5600.00
R010,V005,2026-01-01,,6500.00
R011,V004,2026-01-01,,8200.00
R011,V005,2026-01-01,,9300.00
R012,V005,2026-01-01,,12800.00
